parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
a_0ac_k05	a_{0ac\\rightarrow k05}	log10	1e-12	1e3	1.0	0
a_0ac_k08	a_{0ac\\rightarrow k08}	log10	1e-12	1e3	1.0	0
a_0ac_k12	a_{0ac\\rightarrow k12}	log10	1e-12	1e3	1.0	0
a_0ac_k16	a_{0ac\\rightarrow k16}	log10	1e-12	1e3	1.0	0
a_k05_k05k08	a_{k05\\rightarrow k05k08}	log10	1e-12	1e3	1.0	0
a_k05_k05k12	a_{k05\\rightarrow k05k12}	log10	1e-12	1e3	1.0	0
a_k05_k05k16	a_{k05\\rightarrow k05k16}	log10	1e-12	1e3	1.0	0
a_k08_k05k08	a_{k08\\rightarrow k05k08}	log10	1e-12	1e3	1.0	0
a_k08_k08k12	a_{k08\\rightarrow k08k12}	log10	1e-12	1e3	1.0	0
a_k08_k08k16	a_{k08\\rightarrow k08k16}	log10	1e-12	1e3	1.0	0
a_k12_k05k12	a_{k12\\rightarrow k05k12}	log10	1e-12	1e3	1.0	0
a_k12_k08k12	a_{k12\\rightarrow k08k12}	log10	1e-12	1e3	1.0	0
a_k12_k12k16	a_{k12\\rightarrow k12k16}	log10	1e-12	1e3	1.0	0
a_k16_k05k16	a_{k16\\rightarrow k05k16}	log10	1e-12	1e3	1.0	0
a_k16_k08k16	a_{k16\\rightarrow k08k16}	log10	1e-12	1e3	1.0	0
a_k16_k12k16	a_{k16\\rightarrow k12k16}	log10	1e-12	1e3	1.0	0
a_k05k08_k05k08k12	a_{k05k08\\rightarrow k05k08k12}	log10	1e-12	1e3	1.0	0
a_k05k08_k05k08k16	a_{k05k08\\rightarrow k05k08k16}	log10	1e-12	1e3	1.0	0
a_k05k12_k05k08k12	a_{k05k12\\rightarrow k05k08k12}	log10	1e-12	1e3	1.0	0
a_k05k12_k05k12k16	a_{k05k12\\rightarrow k05k12k16}	log10	1e-12	1e3	1.0	0
a_k05k16_k05k08k16	a_{k05k16\\rightarrow k05k08k16}	log10	1e-12	1e3	1.0	0
a_k05k16_k05k12k16	a_{k05k16\\rightarrow k05k12k16}	log10	1e-12	1e3	1.0	0
a_k08k12_k05k08k12	a_{k08k12\\rightarrow k05k08k12}	log10	1e-12	1e3	1.0	0
a_k08k12_k08k12k16	a_{k08k12\\rightarrow k08k12k16}	log10	1e-12	1e3	1.0	0
a_k08k16_k05k08k16	a_{k08k16\\rightarrow k05k08k16}	log10	1e-12	1e3	1.0	0
a_k08k16_k08k12k16	a_{k08k16\\rightarrow k08k12k16}	log10	1e-12	1e3	1.0	0
a_k12k16_k05k12k16	a_{k12k16\\rightarrow k05k12k16}	log10	1e-12	1e3	1.0	0
a_k12k16_k08k12k16	a_{k12k16\\rightarrow k08k12k16}	log10	1e-12	1e3	1.0	0
a_k05k08k12_4ac	a_{k05k08k12\\rightarrow 4ac}	log10	1e-12	1e3	1.0	0
a_k05k08k16_4ac	a_{k05k08k16\\rightarrow 4ac}	log10	1e-12	1e3	1.0	0
a_k05k12k16_4ac	a_{k05k12k16\\rightarrow 4ac}	log10	1e-12	1e3	1.0	0
a_k08k12k16_4ac	a_{k08k12k16\\rightarrow 4ac}	log10	1e-12	1e3	1.0	0
a_b	a_b	log10	1e-12	1e3	0.0	1
da_b	da_b	lin			1.0	0
sigma	sigma	log10	1e-12	1e3	0.1	1
