observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
Ca		model1_data1	0.349094093638448	0.029484867	offset;scale	sigma
Ca		model1_data1	0.373435333160542	0.147620899	offset;scale	sigma
Ca		model1_data1	0.344146723385644	0.312814778	offset;scale	sigma
Ca		model1_data1	0.373879840720067	0.445614618	offset;scale	sigma
Ca		model1_data1	0.341839728595424	0.566227379	offset;scale	sigma
Ca		model1_data1	0.366203193266489	0.699263097	offset;scale	sigma
Ca		model1_data1	0.806581379884596	0.724620082	offset;scale	sigma
Ca		model1_data1	1	0.79062687	offset;scale	sigma
Ca		model1_data1	0.88193431945531	0.840515264	offset;scale	sigma
Ca		model1_data1	0.715586217044644	0.922325941	offset;scale	sigma
Ca		model1_data1	0.57342377569059	1.017974848	offset;scale	sigma
Ca		model1_data1	0.608437644020494	1.090940065	offset;scale	sigma
Ca		model1_data1	0.557537072025878	1.167679344	offset;scale	sigma
Ca		model1_data1	0.635485935145917	1.223857844	offset;scale	sigma
Ca		model1_data1	0.538943315809607	1.302602094	offset;scale	sigma
Ca		model1_data1	0.643784893959343	1.38740057	offset;scale	sigma
Ca		model1_data1	0.804941146565706	1.42502326	offset;scale	sigma
Ca		model1_data1	0.611744781101873	1.508013332	offset;scale	sigma
Ca		model1_data1	0.437408876409874	1.634876884	offset;scale	sigma
Ca		model1_data1	0.338225881241447	1.743538446	offset;scale	sigma
Ca		model1_data1	0.394762810266858	1.845359519	offset;scale	sigma
Ca		model1_data1	0.633912377935369	1.96896008	offset;scale	sigma
Ca		model1_data1	0.5588483692833	2.046760814	offset;scale	sigma
Ca		model1_data1	0.505285195613442	2.138517719	offset;scale	sigma
Ca		model1_data1	0.368536858933986	2.26373012	offset;scale	sigma
Ca		model1_data1	0.46798655800823	2.333864789	offset;scale	sigma
Ca		model1_data1	0.280137619586846	2.401719295	offset;scale	sigma
Ca		model1_data1	0.339426051447788	2.548121486	offset;scale	sigma
Ca		model1_data1	0.326090821603334	2.608309927	offset;scale	sigma
Ca		model1_data1	0.35573503801813	2.681511023	offset;scale	sigma
Ca		model1_data1	0.323783827035306	2.861722528	offset;scale	sigma
Ca		model1_data1	0.353450268572356	2.949823309	offset;scale	sigma
Ca		model1_data1	0.310826428312556	3.17520563	offset;scale	sigma
Ca		model1_data1	0.343333274053228	3.367486273	offset;scale	sigma
Ca		model1_data1	0.394678354621965	3.588740712	offset;scale	sigma
Ca		model1_data1	0.880743038194813	3.641892098	offset;scale	sigma
Ca		model1_data1	0.730592795087591	3.782593882	offset;scale	sigma
Ca		model1_data1	0.636690551539262	3.831420821	offset;scale	sigma
Ca		model1_data1	0.679714448974595	3.874232847	offset;scale	sigma
Ca		model1_data1	0.572432523769101	3.953448856	offset;scale	sigma
Ca		model1_data1	0.586034458442371	4.072056646	offset;scale	sigma
Ca		model1_data1	0.492176664823728	4.150682957	offset;scale	sigma
Ca		model1_data1	0.588941537789398	4.220935566	offset;scale	sigma
Ca		model1_data1	0.457496177738232	4.301213029	offset;scale	sigma
Ca		model1_data1	0.583794139570807	4.370168304	offset;scale	sigma
Ca		model1_data1	0.44156502300655	4.421118154	offset;scale	sigma
Ca		model1_data1	0.524950215087214	4.521759832	offset;scale	sigma
Ca		model1_data1	0.374688844357398	4.587963185	offset;scale	sigma
Ca		model1_data1	0.554705558748284	4.669459357	offset;scale	sigma
Ca		model1_data1	0.597751680842474	4.727171069	offset;scale	sigma
Ca		model1_data1	0.681070196412287	4.783113689	offset;scale	sigma
Ca		model1_data1	0.584505351843597	4.846958254	offset;scale	sigma
Ca		model1_data1	0.622226271721573	4.934705217	offset;scale	sigma
Ca		model1_data1	0.528279577700738	4.953732784	offset;scale	sigma
Ca		model1_data1	0.611620319093598	5.02457509	offset;scale	sigma
Ca		model1_data1	0.493487963041773	5.029764427	offset;scale	sigma
Ca		model1_data1	0.544633014733628	5.116921693	offset;scale	sigma
Ca		model1_data1	0.429274385295461	5.181591833	offset;scale	sigma
Ca		model1_data1	0.257601080899329	5.293437761	offset;scale	sigma
Ca		model1_data1	0.33286511843398	5.349734199	offset;scale	sigma
Ca		model1_data1	0.319552114019656	5.424822326	offset;scale	sigma
Ca		model1_data1	0.354588208134813	5.512687229	offset;scale	sigma
Ca		model1_data1	0.317133992462572	5.603736497	offset;scale	sigma
Ca		model1_data1	0.357539739182399	5.691365521	offset;scale	sigma
Ca		model1_data1	0.311986593371782	5.752969235	offset;scale	sigma
Ca		model1_data1	0.341608584643843	5.811270645	offset;scale	sigma
Ca		model1_data1	0.288023185287976	5.888127864	offset;scale	sigma
Ca		model1_data1	0.379396181027403	5.943716666	offset;scale	sigma
Ca		model1_data1	0.317822978969054	6.065626761	offset;scale	sigma
Ca		model1_data1	0.744777035298493	6.091573444	offset;scale	sigma
Ca		model1_data1	0.90870701559717	6.188676938	offset;scale	sigma
Ca		model1_data1	0.849707514479775	6.235970664	offset;scale	sigma
Ca		model1_data1	0.688773514844277	6.347344833	offset;scale	sigma
Ca		model1_data1	0.62717808684206	6.454355242	offset;scale	sigma
Ca		model1_data1	0.522514313746179	6.488754253	offset;scale	sigma
Ca		model1_data1	0.603170228052092	6.559714499	offset;scale	sigma
Ca		model1_data1	0.439484726955729	6.62650755	offset;scale	sigma
Ca		model1_data1	0.565760463769103	6.680563139	offset;scale	sigma
Ca		model1_data1	0.493359055506962	6.743346248	offset;scale	sigma
Ca		model1_data1	0.576655346534321	6.784389183	offset;scale	sigma
Ca		model1_data1	0.659996088984154	6.855231489	offset;scale	sigma
Ca		model1_data1	0.504342840391355	6.906771036	offset;scale	sigma
Ca		model1_data1	0.670935421945509	6.988856904	offset;scale	sigma
Ca		model1_data1	0.569045375130751	7.08273672	offset;scale	sigma
Ca		model1_data1	0.660396145843614	7.123425836	offset;scale	sigma
Ca		model1_data1	0.612180398865166	7.200047176	offset;scale	sigma
Ca		model1_data1	0.660596173934895	7.257523009	offset;scale	sigma
Ca		model1_data1	0.475365385841722	7.280560518	offset;scale	sigma
Ca		model1_data1	0.633836812643268	7.318301148	offset;scale	sigma
Ca		model1_data1	0.515726680866965	7.33839017	offset;scale	sigma
Ca		model1_data1	0.585665516659488	7.424721859	offset;scale	sigma
Ca		model1_data1	0.523936738148843	7.442334153	offset;scale	sigma
Ca		model1_data1	0.548211301026941	7.515771128	offset;scale	sigma
Ca		model1_data1	0.44625457856736	7.564951885	offset;scale	sigma
Ca		model1_data1	0.628933892539604	7.631430431	offset;scale	sigma
Ca		model1_data1	0.524381245802199	7.740327872	offset;scale	sigma
Ca		model1_data1	0.629133921488965	7.765527604	offset;scale	sigma
Ca		model1_data1	0.532591301395887	7.844271855	offset;scale	sigma
Ca		model1_data1	0.570334447197311	7.946918504	offset;scale	sigma
Ca		model1_data1	0.444169837167304	7.967361345	offset;scale	sigma
Ca		model1_data1	0.659089292208728	8.047324303	offset;scale	sigma
Ca		model1_data1	0.514175349571299	8.098392092	offset;scale	sigma
Ca		model1_data1	0.565320400550841	8.185549358	offset;scale	sigma
Ca		model1_data1	0.369372533316219	8.223958311	offset;scale	sigma
Ca		model1_data1	0.294308523547599	8.301759045	offset;scale	sigma
Ca		model1_data1	0.267593613396788	8.392336556	offset;scale	sigma
Ca		model1_data1	0.318738664768809	8.479493821	offset;scale	sigma
Ca		model1_data1	0.297393406799128	8.569835453	offset;scale	sigma
Ca		model1_data1	0.329722449084925	8.642918609	offset;scale	sigma
Ca		model1_data1	0.327326552952011	8.836732465	offset;scale	sigma
Ca		model1_data1	0.370506027839561	8.983842293	offset;scale	sigma
