observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId
ERB_B1_P_tot		model1_data1	0.0	1800	EGFR_t	0.1	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	65.0	1950	EGFR_t	7.4	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	72.0	2100	EGFR_t	6.8	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	75.0	2250	EGFR_t	8.9	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	77.0	2400	EGFR_t	4.7	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	83.0	2700	EGFR_t	4.7	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	87.0	3600	EGFR_t	2.5	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	98.0	4500	EGFR_t	2.4	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	87.0	5400	EGFR_t	13.1	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	86.0	9000	EGFR_t	13.1	model1_data1_ERB_B1_P_tot
ERK_PP		model1_data1	0.0	1800	ERK_t	0.1	model1_data1_ERK_PP
ERK_PP		model1_data1	60.0	1950	ERK_t	0.46	model1_data1_ERK_PP
ERK_PP		model1_data1	88.0	2100	ERK_t	1.9	model1_data1_ERK_PP
ERK_PP		model1_data1	97.0	2250	ERK_t	1.5	model1_data1_ERK_PP
ERK_PP		model1_data1	98.0	2400	ERK_t	1.2	model1_data1_ERK_PP
ERK_PP		model1_data1	86.0	2700	ERK_t	3.1	model1_data1_ERK_PP
ERK_PP		model1_data1	65.0	3600	ERK_t	2.8	model1_data1_ERK_PP
ERK_PP		model1_data1	56.0	4500	ERK_t	2.9	model1_data1_ERK_PP
ERK_PP		model1_data1	50.0	5400	ERK_t	3.7	model1_data1_ERK_PP
ERK_PP		model1_data1	46.0	9000	ERK_t	1.5	model1_data1_ERK_PP
AKT_PP		model1_data1	0.0	1800	AKT_t	0.1	model1_data1_AKT_PP
AKT_PP		model1_data1	0.0	1950	AKT_t	0.1	model1_data1_AKT_PP
AKT_PP		model1_data1	24.0	2100	AKT_t	0.36	model1_data1_AKT_PP
AKT_PP		model1_data1	34.0	2250	AKT_t	0.69	model1_data1_AKT_PP
AKT_PP		model1_data1	40.0	2400	AKT_t	2.3	model1_data1_AKT_PP
AKT_PP		model1_data1	50.0	2700	AKT_t	2.1	model1_data1_AKT_PP
AKT_PP		model1_data1	64.0	3600	AKT_t	1.5	model1_data1_AKT_PP
AKT_PP		model1_data1	52.0	4500	AKT_t	3.5	model1_data1_AKT_PP
AKT_PP		model1_data1	49.0	5400	AKT_t	2.3	model1_data1_AKT_PP
AKT_PP		model1_data1	57.0	9000	AKT_t	7.4	model1_data1_AKT_PP
ERB_B1_P_tot		model1_data2	0.0	1800	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.0	1950	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.0	2100	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
