observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
observable_x1		condition1	-0.435	400		1
observable_x2		condition1	-0.608	400		1
observable_x3		condition1	-0.855	400		1
observable_x4		condition1	-0.712	400		1
observable_x5		condition1	-0.113	400		1
observable_x6		condition1	-0.089	400		1
observable_x7		condition1	0.096	400		1
observable_x8		condition1	0.291	400		1
observable_x9		condition1	0.428	400		1
observable_x10		condition1	0.375	400		1
observable_x1		condition2	-0.308	400		1
observable_x2		condition2	-0.322	400		1
observable_x3		condition2	-0.999	400		1
observable_x4		condition2	-0.594	400		1
observable_x5		condition2	0.022	400		1
observable_x6		condition2	-0.061	400		1
observable_x7		condition2	0.093	400		1
observable_x8		condition2	0.222	400		1
observable_x9		condition2	0.255	400		1
observable_x10		condition2	0.645	400		1
observable_x1		condition3	-0.402	400		1
observable_x2		condition3	-0.549	400		1
observable_x3		condition3	-0.837	400		1
observable_x4		condition3	-0.675	400		1
observable_x5		condition3	-0.011	400		1
observable_x6		condition3	-0.103	400		1
observable_x7		condition3	0.089	400		1
observable_x8		condition3	0.418	400		1
observable_x9		condition3	0.276	400		1
observable_x10		condition3	0.439	400		1
observable_x1		condition4	-0.475	400		1
observable_x2		condition4	-0.652	400		1
observable_x3		condition4	-0.935	400		1
observable_x4		condition4	-0.751	400		1
observable_x5		condition4	-0.085	400		1
observable_x6		condition4	-0.019	400		1
observable_x7		condition4	0.064	400		1
observable_x8		condition4	0.207	400		1
observable_x9		condition4	0.147	400		1
observable_x10		condition4	0.416	400		1
observable_x1		condition5	-0.611	400		1
observable_x2		condition5	-1.097	400		1
observable_x3		condition5	-1.234	400		1
observable_x4		condition5	-0.928	400		1
observable_x5		condition5	-0.114	400		1
observable_x6		condition5	-0.113	400		1
observable_x7		condition5	-0.002	400		1
observable_x8		condition5	-0.042	400		1
observable_x9		condition5	0.277	400		1
observable_x10		condition5	0.732	400		1
